metric,A5,v1,wta,mode_pool
all_gt_bad1,0.05918682018209659,0.055217829857616314,0.06412825422202531,0.04895920986012557
all_gt_bad3,0.017422576453389314,0.015434286830126228,0.017502366503047626,0.014574843893666626
all_gt_penalized_epe_px,0.351057752607956,0.33016213556377133,0.36300851437264126,0.3216135347209745
bad1_px,0.05785241607670148,0.05387779632748857,0.062251268890710774,0.04697858053124624
bad3_px,0.01602893595602413,0.014037826238513946,0.015531868243596465,0.012522605981439287
boundary_good_current_damage_rate,0.0,0.10900088008992602,0.4431268752741204,0.45492283964064445
common_valid_epe_px,0.4572941064539003,0.44487593762966493,0.46958579895292557,0.451717345378466
completeness_1px,0.9408131798179034,0.9447821701423836,0.9358717457779747,0.9510407901398744
completeness_2px,0.9759058027605878,0.9782768885866557,0.9742667705594137,0.9800070912382716
dynamic_epe_px,0.632551997225204,0.6150783528475462,0.6286974189364664,0.596099117000279
dynamic_penalized_epe_px,0.4352585119044185,0.40729357963059787,0.43641096732545365,0.3855093588098508
dynamic_pixels,1.0,1.0,1.0,1.0
epe_px,0.4572941064539003,0.44487593762966493,0.46958579895292557,0.451717345378466
error_increase_over_v1_5px_rate,0.0017580770784126952,0.0,0.00288281417604435,0.0029315665882757727
fg_bg_background_gt_error_px,8.236003776291323,4.658000866490277,8.247512329838516,8.225974872592603
fg_bg_error_px,7.7691545356844856,3.9367926145560843,7.7271855654294646,7.045276524629363
fg_bg_foreground_gt_error_px,7.1046251105885085,2.910199737572226,6.9865343754107325,5.364629484561564
fg_bg_spurious_mixing_rate,0.0,0.1261109306737115,0.12824976282280035,0.058148840545917554
fixed_opportunity_epe_px,1.398697584381759,1.0599092696347319,1.2850136756869044,1.0747500614023056
fixed_opportunity_recovery_rate,0.0,0.356738871865481,0.3788775308848843,0.5611887809136257
good_current_damage_rate,0.0,0.015482018153250244,0.1254333722432485,0.102427930400512
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.0,0.00280314142960865,0.012226960247393212,0.006982448479470298
large_degradation_5px_excess_mean,0.0,0.01332560879584606,0.019368811270417334,0.048969946687069645
large_degradation_5px_rate,0.0,0.001183098433166143,0.001830882615850094,0.0028234686863540547
metric_depth_absrel,0.030987669185627616,0.030842524743474205,0.03234853921955013,0.031559961376430315
metric_depth_rmse_squared,7.36250233030285,7.246282558952321,5.534377380448844,5.729257625398025
new_large_5px_vs_v1_rate,0.0,0.0,0.0016206394535066332,0.002266073595357929
non_rigid_temporal_residual_epe_px,0.46413342103884137,0.40113879589913026,0.4822217129926865,0.3909765948170105
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9979984133605874,0.9979217368168037
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9979984133605874,0.9979217368168037
recoverable_to_1px_rate,0.0,0.5053274465157805,0.36059350362196735,0.6049332338222164
rejection_task_failure_rate,0.0,0.2654313649164302,0.23479320934857453,0.290706123747387
removed_large_5px_vs_v1_rate,0.001183098433166143,0.0,0.0009728552708226819,0.0006257033421700171
rigid_temporal_residual_epe_px,0.26243125139724166,0.2070133529295863,0.2838536034338602,0.18411589854069815
scale_error_log,0.0024156059048286637,0.0023643838735119284,0.004007954442495001,0.0035667096980604844
spring_boundary_bad1,0.3344674303039284,0.31108591258294016,0.34252120341178205,0.2971317924005403
