metric,v1,matching_mild,alignment_mild,ambiguity_mild
all_gt_bad1,0.055217829857616314,0.055087698831745795,0.05535058131818856,0.055232836717349715
all_gt_bad3,0.015434286830126228,0.015589256316337159,0.015618786905582023,0.015587109070906307
all_gt_penalized_epe_px,0.33016213556377133,0.3307161847662887,0.3315958442324932,0.3309900479047155
bad1_px,0.05387779632748857,0.05374748073003796,0.05401073607633928,0.053892824472229095
bad3_px,0.014037826238513946,0.014193015525980904,0.014222587999991383,0.014190865235000542
boundary_good_current_damage_rate,0.10900088008992602,0.11523296241754603,0.11849568523569273,0.11696583914976923
common_valid_epe_px,0.44487593762966493,0.44089839157710214,0.4416572448262732,0.44120320294756715
completeness_1px,0.9447821701423836,0.9449123011682542,0.9446494186818114,0.9447671632826503
completeness_2px,0.9782768885866557,0.9781564817991206,0.9780825529342124,0.9781290507387415
dynamic_epe_px,0.6150783528475462,0.6137067214572972,0.6141855971972507,0.6134155975512982
dynamic_penalized_epe_px,0.40729357963059787,0.40907300876116026,0.4098536603479952,0.40919708417414025
dynamic_pixels,1.0,1.0,1.0,1.0
epe_px,0.44487593762966493,0.44089839157710214,0.4416572448262732,0.44120320294756715
error_increase_over_v1_5px_rate,0.0,0.00028184385651132616,0.0002699823136960793,0.000269302352642976
fg_bg_background_gt_error_px,4.658000866490277,5.221764391533862,5.29656531649921,5.269311315360519
fg_bg_error_px,3.9367926145560843,4.717829598461916,4.7434464418374995,4.721956478723051
fg_bg_foreground_gt_error_px,2.910199737572226,4.000511309819818,3.956117823050631,3.942832591873846
fg_bg_spurious_mixing_rate,0.1261109306737115,0.1351852776519297,0.13073216406844446,0.13188472386435526
fixed_opportunity_epe_px,1.0599092696347319,1.1051436929165672,1.1100227255328015,1.1049055786149629
fixed_opportunity_recovery_rate,0.356738871865481,0.3587795040469037,0.34694000950619175,0.35958929433440584
good_current_damage_rate,0.015482018153250244,0.0138713075699619,0.014637535594872079,0.014299076965577594
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.00280314142960865,0.0024508818402968558,0.0023884924313893052,0.002383490144811504
large_degradation_5px_excess_mean,0.01332560879584606,0.005738011068448725,0.005898654547042375,0.005943056029833612
large_degradation_5px_rate,0.001183098433166143,0.0008230868902109275,0.0007953754950116467,0.00080432632735396
metric_depth_absrel,0.030842524743474205,0.03067283566116319,0.03066016896639932,0.03068784722679688
metric_depth_rmse_squared,7.246282558952321,7.254123510741639,7.253943436043522,7.254689067018589
new_large_5px_vs_v1_rate,0.0,3.357059175920923e-05,8.089945979758506e-06,1.0016502296884579e-05
non_rigid_temporal_residual_epe_px,0.40113879589913026,0.4045744560628026,0.4050870271362587,0.40349199043552736
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
recoverable_to_1px_rate,0.5053274465157805,0.5214641809379336,0.5026264379541966,0.5161432426875717
rejection_task_failure_rate,0.2654313649164302,0.2025221098181497,0.24153191963709986,0.22788195487228322
removed_large_5px_vs_v1_rate,0.0,0.00039358213471442463,0.0003958128841342548,0.0003887886081090676
rigid_temporal_residual_epe_px,0.2070133529295863,0.2093452610344608,0.2105617531788131,0.20895952482296337
scale_error_log,0.0023643838735119284,0.0023487861335013613,0.002362942275364598,0.0023550965297018047
spring_boundary_bad1,0.31108591258294016,0.3108470742017229,0.3121846670582811,0.3115654752455832
spring_boundary_epe_px,1.4080418383139552,1.4166595635169887,1.4196055819906002,1.4165631329594948
spring_high_detail_bad1,0.5637003414815295,0.566716967876697,0.5668895485376682,0.5664201741329228
spring_high_detail_epe_px,3.07545492132473,3.115345839145172,3.115988373063068,3.112221563842576
spring_low_detail_bad1,0.04884762953292622,0.04867807635449985,0.048942090130032784,0.048828750699951656
spring_low_detail_epe_px,0.29576947781164303,0.29583072002962535,0.2967133501727171,0.29614715458812163
spring_matched_bad1,0.2579814837153132,0.25969225107918964,0.25981141433324034,0.25921806129382235
spring_matched_epe_px,1.279725124174975,1.2924573786416402,1.2936175359661024,1.291163095668193
spring_unmatched_completion_1px,0.95674073012179,0.9569794333369603,0.9567080746022943,0.9567977688502655
spring_unmatched_completion_2px,0.9847693478020908,0.9847394693702944,0.9846633257943719,0.9846983478389425
static_epe_px,0.38483830065127045,0.37994153756942883,0.3807991508041089,0.3804565606795167
static_penalized_epe_px,0.30293328129298713,0.30305474827315987,0.3039693593878345,0.3033814893033088
static_pixels,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8072329404572298,0.8072933468831196,0.8049609298007031,0.8070946826462493
temporal_disocclusion_completion_2px,0.8861495095492925,0.8861502906668687,0.885152890312953,0.8860281759524622
temporal_disocclusion_current_epe_px,1.0240037967619038,1.0224806978977425,1.0377804172518599,1.0248867282172407
temporal_large_motion_penalized_delta_epe_px,0.25072727392769417,0.25116258541067393,0.2539978311777523,0.251362166048538
temporal_matched_common_valid_delta_epe_px,0.4068817859334396,0.4020947904129728,0.4030898601268145,0.4020757303326187
temporal_matched_penalized_delta_epe_px,0.2582750298404227,0.2608983999018664,0.2619290113396249,0.2603286820460284
temporal_medium_motion_penalized_delta_epe_px,0.1386002171986689,0.13611926902056667,0.13659531703473465,0.13629361789308245
temporal_prediction_transport_miss_rate,0.00498589849879773,0.005007536595461505,0.005047957959974002,0.00499586496461108
temporal_small_motion_penalized_delta_epe_px,0.2897734094872344,0.29613523821160775,0.2949508493675441,0.2944425889411423
