metric,v1,residual_none_control,residual_none_guarded,residual_matching_control,residual_matching_guarded,residual_ambiguity_control,residual_ambiguity_guarded
all_gt_bad1,0.055217829857616314,0.05525608263732891,0.05527438989281714,0.05503097775313765,0.05512625381637088,0.05521961922880869,0.05525351787195317
all_gt_bad3,0.015434286830126228,0.015472064432377738,0.015482784754010291,0.015445096620318401,0.015469557324518197,0.015475265418621879,0.015470660770086828
all_gt_penalized_epe_px,0.33016213556377133,0.33047802440487867,0.33079834847907136,0.32980059856282845,0.33054772675978433,0.3303649108911365,0.33069311655780353
bad1_px,0.05387779632748857,0.05391610336310168,0.053934436584719435,0.05369067920098357,0.05378609039919646,0.05387958823663887,0.05391353495998625
bad3_px,0.014037826238513946,0.014075657422697148,0.014086392949517622,0.014048651360791935,0.014073146758876559,0.014078862949066021,0.014074251769519245
boundary_good_current_damage_rate,0.10900088008992602,0.11353958807144122,0.10875471632348968,0.12083213519110732,0.10988692441973609,0.1212707278605101,0.10901075568645562
common_valid_epe_px,0.44487593762966493,0.444384714013152,0.44341221934201164,0.4441015424934986,0.44300993308606473,0.44423380475435864,0.4434144556193612
completeness_1px,0.9447821701423836,0.944743917362671,0.9447256101071828,0.9449690222468623,0.9448737461836291,0.9447803807711913,0.9447464821280468
completeness_2px,0.9782768885866557,0.9782356912972365,0.9782289751906945,0.978295494070676,0.9782701883856354,0.9782350391708464,0.9782437434676022
dynamic_epe_px,0.6150783528475462,0.6153814366585999,0.615180276020824,0.6144142498057129,0.6147501758746895,0.6154711744275377,0.6152682242425336
dynamic_penalized_epe_px,0.40729357963059787,0.4083169207603349,0.40901756865167227,0.40697157607507495,0.408498820136071,0.4081721758486161,0.4088391379298336
dynamic_pixels,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epe_px,0.44487593762966493,0.444384714013152,0.44341221934201164,0.4441015424934986,0.44300993308606473,0.44423380475435864,0.4434144556193612
error_increase_over_v1_5px_rate,0.0,1.5951250084935488e-05,0.00011058313968890836,6.866214903193905e-05,0.0001410461901440226,3.651708965599029e-05,0.00010601229038749159
fg_bg_background_gt_error_px,4.658000866490277,4.732596743079257,4.83303008051503,4.703032035979752,4.831306564497855,4.748208386586676,4.808169167018013
fg_bg_error_px,3.9367926145560843,4.025842301883451,4.2011778623857605,3.95805288294765,4.203789464205855,4.040168409717854,4.175890459580091
fg_bg_foreground_gt_error_px,2.910199737572226,3.0198234811579683,3.3017774677031624,2.8976236796583796,3.3105598268332166,3.0323197128622996,3.2758829852014455
fg_bg_spurious_mixing_rate,0.1261109306737115,0.1331174497827956,0.13618895750599985,0.13649496304799844,0.13901950876948665,0.1341133420706772,0.13527643798554903
fixed_opportunity_epe_px,1.0599092696347319,1.0637620000568497,1.0764913970029926,1.0526373713005648,1.0752053995022153,1.0599720806360224,1.0752309796087725
fixed_opportunity_recovery_rate,0.356738871865481,0.3653833533547702,0.34044815899042813,0.3801226588326204,0.33353403142796395,0.3829491207191864,0.33930506507039526
good_current_damage_rate,0.015482018153250244,0.0168760361382098,0.01480636036458976,0.017272207187012098,0.013792554828452583,0.018137554698161217,0.01464821318961389
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.00280314142960865,0.0027529793905156775,0.0028140049009365933,0.0029539635510336935,0.0029171144336120067,0.0027562777980802925,0.002832244557957558
large_degradation_5px_excess_mean,0.01332560879584606,0.012339295506116675,0.010029205256180666,0.012791803730470777,0.009671508801150981,0.012284418446200583,0.010147993511555277
large_degradation_5px_rate,0.001183098433166143,0.001139656476995653,0.0011040758249303401,0.0011961668074411374,0.0011174921324927413,0.00113815539338427,0.0011130564801258597
metric_depth_absrel,0.030842524743474205,0.030795260341848353,0.030816247661210244,0.03077749787725272,0.030805526585254067,0.030778828939295448,0.030821560047961247
metric_depth_rmse_squared,7.246282558952321,7.244017046793309,7.246005167599879,7.262460236397744,7.256610539647799,7.253496030692284,7.2475597179991516
new_large_5px_vs_v1_rate,0.0,4.948605442029718e-06,1.8148200271131886e-05,8.665924684682576e-05,6.729029778444989e-05,1.810247189621558e-05,2.5486610350091983e-05
