metric,v1,codd_component_capacity_control,codd_component_codd,codd_component_codd_regret
all_gt_bad1,0.055217829857616314,0.05525951624182806,0.054848809824802586,0.05488337451166867
all_gt_bad3,0.015434286830126228,0.015486200464797517,0.015312094647779221,0.015349120714129931
all_gt_penalized_epe_px,0.33016213556377133,0.33057448781571813,0.32921656728202203,0.32943503961900034
bad1_px,0.05387779632748857,0.053919541837660095,0.05350825289443203,0.05354286660618535
bad3_px,0.014037826238513946,0.014089813504984531,0.013915460744660182,0.013952539327000257
boundary_good_current_damage_rate,0.10900088008992602,0.10933156734430687,0.0684540044091634,0.06589607967863648
common_valid_epe_px,0.44487593762966493,0.4437245188433583,0.4445957357562122,0.443327017160318
completeness_1px,0.9447821701423836,0.944740483758172,0.9451511901751974,0.9451166254883313
completeness_2px,0.9782768885866557,0.9782278419222726,0.9784957505535757,0.9784632237616788
dynamic_epe_px,0.6150783528475462,0.6151343152554446,0.6155516986333138,0.6156638717238763
dynamic_penalized_epe_px,0.40729357963059787,0.40865885198162805,0.40542456245707975,0.40614491918213363
dynamic_pixels,1.0,1.0,1.0,1.0
epe_px,0.44487593762966493,0.4437245188433583,0.4445957357562122,0.443327017160318
error_increase_over_v1_5px_rate,0.0,6.576336770028805e-05,0.00043490070373662697,0.0003857466770820264
fg_bg_background_gt_error_px,4.658000866490277,4.760207816937195,4.5692135677280765,4.800591442516234
fg_bg_error_px,3.9367926145560843,4.0950715081634,3.9158089474666617,4.247177589943743
fg_bg_foreground_gt_error_px,2.910199737572226,3.148293382733938,2.9857301149661195,3.4594290893526067
fg_bg_spurious_mixing_rate,0.1261109306737115,0.1369301505703018,0.05522300611965275,0.04996044374468327
fixed_opportunity_epe_px,1.0599092696347319,1.0693834281644332,1.0617855497113646,1.0846538641880543
fixed_opportunity_recovery_rate,0.356738871865481,0.35694727733451775,0.26037213461022923,0.2548755350941427
good_current_damage_rate,0.015482018153250244,0.01589808962405548,0.008436702799875784,0.008021348748650065
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.00280314142960865,0.0027404080637941208,0.0031172575896696053,0.0028616936314036583
large_degradation_5px_excess_mean,0.01332560879584606,0.01127876333172123,0.013607835011718751,0.010768459660523423
large_degradation_5px_rate,0.001183098433166143,0.0011204247130580261,0.0013927292329237683,0.0012147007166137373
metric_depth_absrel,0.030842524743474205,0.030800557619355642,0.031208498462512974,0.031117919127315184
metric_depth_rmse_squared,7.246282558952321,7.2419391903369785,7.334130707934754,7.314992368460889
new_large_5px_vs_v1_rate,0.0,1.2573314911770163e-05,0.0003703859194905754,0.0002881384667280662
non_rigid_temporal_residual_epe_px,0.40113879589913026,0.4025847664335815,0.4060780701578252,0.40734365478307993
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
recoverable_to_1px_rate,0.5053274465157805,0.49974837320809024,0.5184821407708013,0.5084664691813245
rejection_task_failure_rate,0.2654313649164302,0.28012371003208075,0.06775057225673271,0.06460534667595993
removed_large_5px_vs_v1_rate,0.0,7.5247035019887e-05,0.00016075511973295012,0.0002565361832804719
rigid_temporal_residual_epe_px,0.2070133529295863,0.20723216723896704,0.21163925153383334,0.21215106146360177
scale_error_log,0.0023643838735119284,0.002367226193621819,0.0023695884914092208,0.002372360960326908
spring_boundary_bad1,0.31108591258294016,0.31156050662387996,0.3075695972431621,0.307919558667436
spring_boundary_epe_px,1.4080418383139552,1.4116792835947565,1.3954935903033083,1.398001162681942
spring_high_detail_bad1,0.5637003414815295,0.5650417784999526,0.5553536401101881,0.5562003137625685
spring_high_detail_epe_px,3.07545492132473,3.087588220161194,3.050289292472659,3.061922490656355
spring_low_detail_bad1,0.04884762953292622,0.048873032816494785,0.04857855281594191,0.048602943511220194
spring_low_detail_epe_px,0.29576947781164303,0.2960349916256268,0.2951273351820688,0.29520280537318605
spring_matched_bad1,0.2579814837153132,0.25821077837701717,0.2558109489611074,0.2558703877921423
spring_matched_epe_px,1.279725124174975,1.2826530091184865,1.2709216738455225,1.2725210487546206
spring_unmatched_completion_1px,0.95674073012179,0.9567101084663713,0.957003500728537,0.956970403064677
spring_unmatched_completion_2px,0.9847693478020908,0.9847433391862088,0.9849255889878245,0.984900414129887
static_epe_px,0.38483830065127045,0.3832609871222869,0.3842922904415948,0.38253647256645806
static_penalized_epe_px,0.30293328129298713,0.3030092347801557,0.30231370788407735,0.3023550055677216
static_pixels,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8072329404572298,0.8073715454315774,0.8076513591055267,0.8078305821938346
temporal_disocclusion_completion_2px,0.8861495095492925,0.8862094820209734,0.8861462114973043,0.8863318571079052
temporal_disocclusion_current_epe_px,1.0240037967619038,1.0226782093188347,1.0291327855873011,1.025518251773247
temporal_large_motion_penalized_delta_epe_px,0.25072727392769417,0.2507057473187915,0.2534957398833903,0.2541000841465606
temporal_matched_common_valid_delta_epe_px,0.4068817859334396,0.4047040356357748,0.4116174541817391,0.4105841312890934
temporal_matched_penalized_delta_epe_px,0.2582750298404227,0.2588178927905504,0.2629836798929307,0.26369453511172725
temporal_medium_motion_penalized_delta_epe_px,0.1386002171986689,0.13858298553080042,0.1538509454178188,0.15385900027216676
temporal_prediction_transport_miss_rate,0.00498589849879773,0.00497183393944659,0.004969426767323848,0.004958697250330422
temporal_small_motion_penalized_delta_epe_px,0.2897734094872344,0.2911426928914871,0.2950507308523427,0.2960263728133803
uncertainty_1sigma_coverage,0.8745534696790634,0.8746386650041095,0.8736156521241413,0.8737327752882253
uncertainty_2sigma_coverage,0.9693019840499937,0.9693375932668304,0.9687600151544544,0.9688059059477937
uncertainty_brier,0.0490936870378639,0.04914931364479629,0.0489665003463331,0.04900833898078133
uncertainty_ece,0.048291030583228645,0.04834720442277004,0.048160622701918974,0.048200516359671826
uncertainty_nll,-2.8438761131708032,-2.844038844849119,-2.8400733027971468,-2.840418466523151
validity_confidence_brier_0p1_log_depth,0.0490936870378639,0.04914931364479629,0.0489665003463331,0.04900833898078133
validity_confidence_ece_0p1_log_depth,0.048291030583228645,0.04834720442277004,0.048160622701918974,0.048200516359671826
metric_depth_rmse,2.69189200358267,2.69108513249525,2.7081600225863234,2.7046242564284024
epe_at_99pct_coverage_px,0.3133879161655182,0.3137994421547532,0.31243915147915446,0.3126673891167347
