metric,A5_frozen,A5_temporal_repair
all_gt_bad1,0.05918682018209659,0.055217829857616314
all_gt_bad3,0.017422576453389314,0.015434286830126228
all_gt_penalized_epe_px,0.351057752607956,0.33016213556377133
bad1_px,0.05785241607670148,0.05387779632748857
bad3_px,0.01602893595602413,0.014037826238513946
common_valid_epe_px,0.4572941064539003,0.44487593762966493
completeness_1px,0.9408131798179034,0.9447821701423836
completeness_2px,0.9759058027605878,0.9782768885866557
dynamic_epe_px,0.632551997225204,0.6150783528475462
dynamic_penalized_epe_px,0.4352585119044185,0.40729357963059787
dynamic_pixels,1.0,1.0
epe_at_99pct_coverage_px,0.3341939595772921,0.3133879161655182
epe_px,0.4572941064539003,0.44487593762966493
gt_valid_pixels,0.9884998571129573,0.9884998571129573
metric_depth_absrel,0.030987669185627616,0.030842524743474205
metric_depth_rmse,2.7133931396505835,2.69189200358267
metric_depth_rmse_squared,7.36250233030285,7.246282558952321
non_rigid_temporal_residual_epe_px,0.46413342103884137,0.40113879589913026
old_gate_rejected_opportunity_completion_1px,0.5555942346396917,0.6638393536617295
old_gate_rejected_opportunity_epe_px,3.5622385779685892,2.675504938180981
opportunity_completion_1px,0.8094064828306303,0.8620743259844647
opportunity_epe_px,1.398697584381759,1.0599092696347319
prediction_coverage,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075
rigid_temporal_residual_epe_px,0.26243125139724166,0.2070133529295863
scale_error_log,0.0024156059048286637,0.0023643838735119284
spring_boundary_bad1,0.3344674303039284,0.31108591258294016
spring_boundary_epe_px,1.5418423407526223,1.4080418383139552
spring_high_detail_bad1,0.595623746520467,0.5637003414815295
spring_high_detail_epe_px,3.35490542740516,3.07545492132473
spring_low_detail_bad1,0.05246641072018003,0.04884762953292622
spring_low_detail_epe_px,0.3134259540782446,0.29576947781164303
spring_matched_bad1,0.28413346270174084,0.2579814837153132
spring_matched_epe_px,1.4174239451610633,1.279725124174975
spring_unmatched_completion_1px,0.9540800442956225,0.95674073012179
spring_unmatched_completion_2px,0.9833666595437209,0.9847693478020908
static_epe_px,0.3954731880476778,0.38483830065127045
static_penalized_epe_px,0.3213332967506746,0.30293328129298713
static_pixels,1.0,1.0
temporal_disocclusion_completion_1px,0.8075222143329347,0.8072329404572298
temporal_disocclusion_completion_2px,0.8862424625408557,0.8861495095492925
temporal_disocclusion_current_epe_px,1.017973024743999,1.0240037967619038
temporal_large_motion_penalized_delta_epe_px,0.30191097963558067,0.25072727392769417
temporal_matched_common_valid_delta_epe_px,0.4540002468912146,0.4068817859334396
temporal_matched_penalized_delta_epe_px,0.31569367436569595,0.2582750298404227
temporal_medium_motion_penalized_delta_epe_px,0.18704797715907268,0.1386002171986689
temporal_prediction_transport_miss_rate,0.005066429902941253,0.00498589849879773
temporal_small_motion_penalized_delta_epe_px,0.3568289999600065,0.2897734094872344
uncertainty_1sigma_coverage,0.8670720518665476,0.8745534696790634
uncertainty_2sigma_coverage,0.9671933012001017,0.9693019840499937
uncertainty_brier,0.05302855477294157,0.0490936870378639
uncertainty_ece,0.0522886514462862,0.048291030583228645
uncertainty_nll,-2.8176555199763307,-2.8438761131708032
validity_confidence_brier_0p1_log_depth,0.05302855477294157,0.0490936870378639
validity_confidence_ece_0p1_log_depth,0.0522886514462862,0.048291030583228645
wrong_history_completion_1px,0.9011783561525968,0.8866449191205876
wrong_history_epe_px,0.8009286205827604,0.9871576857346056
