metric,v1,none_control,none_mild,none_balanced,none_recover,none_protect
all_gt_bad1,0.055217829857616314,0.055162381220744974,0.05528990175286484,0.05559862196468567,0.055404654127431986,0.0557136745559751
all_gt_bad3,0.015434286830126228,0.015434195373376397,0.015599328487960029,0.01583510597721871,0.015793938510652757,0.01595410313789222
all_gt_penalized_epe_px,0.33016213556377133,0.33006464138053265,0.33124439938239814,0.33339633174404576,0.33265172357224865,0.33415940373957476
bad1_px,0.05387779632748857,0.05382226904494106,0.05394997044604238,0.05425912853174393,0.05406488557985123,0.05437434430808799
bad3_px,0.014037826238513946,0.014037734652046266,0.014203101983486935,0.014439213888181516,0.014397988031663577,0.01455837982869691
boundary_good_current_damage_rate,0.10900088008992602,0.11380187229691853,0.10883125219659408,0.08824949242338426,0.14300546352855065,0.10245582848993415
common_valid_epe_px,0.44487593762966493,0.44443052303328,0.44149269196550717,0.4419008649776689,0.44167075456011445,0.44223967416749416
completeness_1px,0.9447821701423836,0.944837618779255,0.9447100982471351,0.9444013780353143,0.944595345872568,0.9442863254440249
completeness_2px,0.9782768885866557,0.9782796183718192,0.9781123539173264,0.9778636710853903,0.977896512011341,0.9777274581856559
dynamic_epe_px,0.6150783528475462,0.6143070470075785,0.6142477454233695,0.6141880307239781,0.6155493132738827,0.6152631449457119
dynamic_penalized_epe_px,0.40729357963059787,0.4071164815208717,0.4098381883331515,0.4130038988660777,0.413424212352113,0.4149642506480275
dynamic_pixels,1.0,1.0,1.0,1.0,1.0,1.0
epe_px,0.44487593762966493,0.44443052303328,0.44149269196550717,0.4419008649776689,0.44167075456011445,0.44223967416749416
error_increase_over_v1_5px_rate,0.0,2.6025409898018884e-05,0.0002628367580678532,0.0005180826058995998,0.00045543274407404795,0.0006156768989220637
fg_bg_background_gt_error_px,4.658000866490277,4.693818761164906,5.261884351313975,5.967588163465858,5.713095944459327,6.236694152551015
fg_bg_error_px,3.9367926145560843,3.9632847830992826,4.721911272795736,5.444283243044871,5.218368251200272,5.714626692412713
fg_bg_foreground_gt_error_px,2.910199737572226,2.923417343610691,3.9532948368589347,4.6993928423124505,4.514155668240609,4.9714977356298675
fg_bg_spurious_mixing_rate,0.1261109306737115,0.12862219172346628,0.13202215150297736,0.14792802639710081,0.14932337502124401,0.1680066624919204
fixed_opportunity_epe_px,1.0599092696347319,1.056211323373727,1.1091427892010872,1.1648875500818716,1.1201247819428766,1.1724106585293537
fixed_opportunity_recovery_rate,0.356738871865481,0.37194382852633423,0.3462556978538961,0.29613923749171334,0.41016568178353674,0.33827259938425497
