metric,v1,learned_codd_codd,learned_codd_codd_regret,learned_codd_margin01_codd,learned_codd_margin01_codd_regret
all_gt_bad1,0.055217829857616314,0.05483360812242823,0.05488961544074964,0.05504447955287924,0.05511566272710222
all_gt_bad3,0.015434286830126228,0.015191405537233808,0.015248575946830259,0.015327626389729053,0.015405996871574746
all_gt_penalized_epe_px,0.33016213556377133,0.32823559394420804,0.3285984765480723,0.32938620302897237,0.33014481572903615
bad1_px,0.05387779632748857,0.05349302963069513,0.05354911638709957,0.05370420015102768,0.05377548428803684
bad3_px,0.014037826238513946,0.01379460045449267,0.013851851951844806,0.0139310145160848,0.014009496154847678
boundary_good_current_damage_rate,0.10900088008992602,0.07174867768667056,0.06883058414153473,0.06503559571631477,0.0637202533961886
common_valid_epe_px,0.44487593762966493,0.44461928064910494,0.4428895700542554,0.44370548982994756,0.4423039432314453
completeness_1px,0.9447821701423836,0.9451663918775718,0.9451103845592503,0.9449555204471207,0.9448843372728978
completeness_2px,0.9782768885866557,0.978597193982852,0.9785419918815672,0.9784576111007054,0.9783761231366045
dynamic_epe_px,0.6150783528475462,0.6161643695881944,0.6161375919186116,0.6137197921696546,0.6139290953376603
dynamic_penalized_epe_px,0.40729357963059787,0.40395713876435796,0.40506409838026,0.4050620338508962,0.4065895468836588
dynamic_pixels,1.0,1.0,1.0,1.0,1.0
epe_px,0.44487593762966493,0.44461928064910494,0.4428895700542554,0.44370548982994756,0.4423039432314453
error_increase_over_v1_5px_rate,0.0,0.00046877747678875407,0.0003950414663313189,0.0003195260256325753,0.00031553771606378803
fg_bg_background_gt_error_px,4.658000866490277,4.415035175289397,4.703766539842321,4.747049695217331,5.074335505995744
fg_bg_error_px,3.9367926145560843,3.769548581700113,4.193083794801637,4.075255088041766,4.54031916053028
fg_bg_foreground_gt_error_px,2.910199737572226,2.850740543397469,3.466160236937011,3.1189993093911177,3.780181745328021
fg_bg_spurious_mixing_rate,0.1261109306737115,0.05182396252439913,0.047588900794194325,0.05122248755936301,0.05208919786693981
fixed_opportunity_epe_px,1.0599092696347319,1.051123571309891,1.0769613682422157,1.0901873904153552,1.1184306643888517
fixed_opportunity_recovery_rate,0.356738871865481,0.2806001871118317,0.2750799656218853,0.258175436159189,0.2527408826194934
good_current_damage_rate,0.015482018153250244,0.009581704448784974,0.009529679572276998,0.007399114804677617,0.00705800570860325
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.00280314142960865,0.002976241222378789,0.002715851926464065,0.002415267388997909,0.0021797086006627386
large_degradation_5px_excess_mean,0.01332560879584606,0.014998264730526997,0.011372141730036422,0.011965878021920891,0.008219828483335048
large_degradation_5px_rate,0.001183098433166143,0.001415929424528045,0.0012197348142349584,0.0011389944096544735,0.0009495218704740838
