metric,v1,none_control,none_mild,matching_mild,alignment_mild,ambiguity_mild
all_gt_bad1,0.055217829857616314,0.05518251363484943,0.05528990175286484,0.055087698831745795,0.05535058131818856,0.05527500424359319
all_gt_bad3,0.015434286830126228,0.015438676754118193,0.015599328487960029,0.015589256316337159,0.015618786905582023,0.01559770811293582
all_gt_penalized_epe_px,0.33016213556377133,0.3301048165673445,0.33124439938239814,0.3307161847662887,0.3315958442324932,0.3311490909311698
bad1_px,0.05387779632748857,0.05384243001389211,0.05394997044604238,0.05374748073003796,0.05401073607633928,0.05393505180686104
bad3_px,0.014037826238513946,0.014042222388962687,0.014203101983486935,0.014193015525980904,0.014222587999991383,0.01420147931020083
boundary_good_current_damage_rate,0.10900088008992602,0.10850869778641409,0.10883125219659408,0.11523296241754603,0.11849568523569273,0.10645239526784651
common_valid_epe_px,0.44487593762966493,0.44434642634516497,0.44149269196550717,0.44089839157710214,0.4416572448262732,0.44124619625946304
completeness_1px,0.9447821701423836,0.9448174863651506,0.9447100982471351,0.9449123011682542,0.9446494186818114,0.9447249957564068
completeness_2px,0.9782768885866557,0.978274472935546,0.9781123539173264,0.9781564817991206,0.9780825529342124,0.9781191177404336
dynamic_epe_px,0.6150783528475462,0.6140203692941355,0.6142477454233695,0.6137067214572972,0.6141855971972507,0.6131804100682182
dynamic_penalized_epe_px,0.40729357963059787,0.40704435580395004,0.4098381883331515,0.40907300876116026,0.4098536603479952,0.4091554312373265
dynamic_pixels,1.0,1.0,1.0,1.0,1.0,1.0
epe_px,0.44487593762966493,0.44434642634516497,0.44149269196550717,0.44089839157710214,0.4416572448262732,0.44124619625946304
error_increase_over_v1_5px_rate,0.0,2.6844544266084874e-05,0.0002628367580678532,0.00028184385651132616,0.0002699823136960793,0.00027972245755325233
fg_bg_background_gt_error_px,4.658000866490277,4.715428541794703,5.261884351313975,5.221764391533862,5.29656531649921,5.30860031607552
fg_bg_error_px,3.9367926145560843,3.9816666479201897,4.721911272795736,4.717829598461916,4.7434464418374995,4.758687332545662
fg_bg_foreground_gt_error_px,2.910199737572226,2.9372044809475155,3.9532948368589347,4.000511309819818,3.956117823050631,3.9759220905525567
fg_bg_spurious_mixing_rate,0.1261109306737115,0.12881962943095338,0.13202215150297736,0.1351852776519297,0.13073216406844446,0.1319296168929718
fixed_opportunity_epe_px,1.0599092696347319,1.0603670403878898,1.1091427892010872,1.1051436929165672,1.1100227255328015,1.1130077126945859
fixed_opportunity_recovery_rate,0.356738871865481,0.3593760354768831,0.3462556978538961,0.3587795040469037,0.34694000950619175,0.335864464111901
good_current_damage_rate,0.015482018153250244,0.015465346119355135,0.013682865360408759,0.0138713075699619,0.014637535594872079,0.012329827976096951
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.00280314142960865,0.0028201006921319584,0.002389633652571999,0.0024508818402968558,0.0023884924313893052,0.0022787542725412418
large_degradation_5px_excess_mean,0.01332560879584606,0.012756134954055117,0.005999193636097448,0.005738011068448725,0.005898654547042375,0.0057823784981346415
large_degradation_5px_rate,0.001183098433166143,0.0011769688427371444,0.0008152613735295982,0.0008230868902109275,0.0007953754950116467,0.0007841263147822355
metric_depth_absrel,0.030842524743474205,0.03082996639719114,0.030687079671966593,0.03067283566116319,0.03066016896639932,0.03067960845638786
metric_depth_rmse_squared,7.246282558952321,7.250056824738274,7.251978483227481,7.254123510741639,7.253943436043522,7.252446971161651
new_large_5px_vs_v1_rate,0.0,3.979163893804048e-05,7.986560088643382e-06,3.357059175920923e-05,8.089945979758506e-06,7.829493061756941e-06
non_rigid_temporal_residual_epe_px,0.40113879589913026,0.40106340275904495,0.40513098761882094,0.4045744560628026,0.4050870271362587,0.4044787980848021
