metric,A5,v1,no_memory,memory
all_gt_bad1,0.05918682018209659,0.055217829857616314,0.058308413887378216,0.06207321508871591
all_gt_bad3,0.017422576453389314,0.015434286830126228,0.016712891956590394,0.01676041566726972
all_gt_penalized_epe_px,0.351057752607956,0.33016213556377133,0.34790046791465323,0.3515397917331326
bad1_px,0.05785241607670148,0.05387779632748857,0.05830838205892321,0.06206867806468096
bad3_px,0.01602893595602413,0.014037826238513946,0.01671285872223858,0.016755659452074672
boundary_good_current_damage_rate,0.0,0.10900088008992602,0.20945501230092686,0.2961164216647351
common_valid_epe_px,0.4572941064539003,0.44487593762966493,0.4746936436050035,0.47563866485898715
completeness_1px,0.9408131798179034,0.9447821701423836,0.9416915861126218,0.9379267849112841
completeness_2px,0.9759058027605878,0.9782768885866557,0.975958133915204,0.9750070294453197
dynamic_epe_px,0.632551997225204,0.6150783528475462,0.6330529989191408,0.6404481987393207
dynamic_penalized_epe_px,0.4352585119044185,0.40729357963059787,0.406989188145726,0.41896350194245696
dynamic_pixels,1.0,1.0,1.0,1.0
epe_px,0.4572941064539003,0.44487593762966493,0.4746936436050035,0.47563866485898715
error_increase_over_v1_5px_rate,0.0017580770784126952,0.0,0.003265262445561761,0.0031377399252516826
fg_bg_background_gt_error_px,8.236003776291323,4.658000866490277,8.445917284849608,8.489035153624979
fg_bg_error_px,7.7691545356844856,3.9367926145560843,7.894462850820699,7.894549639975746
fg_bg_foreground_gt_error_px,7.1046251105885085,2.910199737572226,7.109503454644934,7.048338310383137
fg_bg_spurious_mixing_rate,0.0,0.1261109306737115,0.12602618362989454,0.13954127570412195
fixed_opportunity_epe_px,1.398697584381759,1.0599092696347319,1.3814692653737475,1.3484375866869873
fixed_opportunity_recovery_rate,0.0,0.356738871865481,0.18966555251571118,0.22000848585146962
good_current_damage_rate,0.0,0.015482018153250244,0.0556549279100537,0.0666286455546399
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.0,0.00280314142960865,0.00825494190921739,0.009974782113439199
large_degradation_5px_excess_mean,0.0,0.01332560879584606,0.018299102076068302,0.01782619926064052
large_degradation_5px_rate,0.0,0.001183098433166143,0.002113565488631624,0.001974115815229244
metric_depth_absrel,0.030987669185627616,0.030842524743474205,0.03369396399242649,0.032886263360806654
