metric,A5,v1,late,early_seed,early_state,zero_endpoint_only,zero_causal_each_frame
all_gt_bad1,0.05918682018209659,0.055217829857616314,0.060573002304646476,0.06023304961275781,0.05994202429383937,0.059174566965809236,0.059777936967308175
all_gt_bad3,0.017422576453389314,0.015434286830126228,0.017954765268855487,0.017964382144919407,0.017891743615459962,0.01741536329929382,0.017635438062244286
all_gt_penalized_epe_px,0.351057752607956,0.33016213556377133,0.35695731888962057,0.35633420470393556,0.35577822514797397,0.3509889370435838,0.3535320544338597
bad1_px,0.05785241607670148,0.05387779632748857,0.05873396937493764,0.05847332858914075,0.05815779155626224,0.05784693038108578,0.058249515783200916
bad3_px,0.01602893595602413,0.014037826238513946,0.016032302395673412,0.016125512708227402,0.016027699324394004,0.016028798623779084,0.016038510202309876
boundary_good_current_damage_rate,0.0,0.10900088008992602,0.026124002637365192,0.027411025232149132,0.037542080207271344,0.0005255850564796984,0.0038086399851285134
common_valid_epe_px,0.4572941064539003,0.44487593762966493,0.45810895308381383,0.4592229493218007,0.4575328813005686,0.45729283114651176,0.45777656890504015
completeness_1px,0.9408131798179034,0.9447821701423836,0.9394269976953535,0.9397669503872422,0.9400579757061607,0.9408254330341908,0.9402220630326918
completeness_2px,0.9759058027605878,0.9782768885866557,0.9752323331485324,0.9752516344991274,0.9754024645733134,0.9759128568594662,0.9756305994593905
dynamic_epe_px,0.632551997225204,0.6150783528475462,0.6336061482038241,0.6328372479145213,0.6287798299772851,0.6325632027139864,0.6325358332220101
dynamic_penalized_epe_px,0.4352585119044185,0.40729357963059787,0.44528209562584836,0.44316692723532874,0.4414736054884981,0.43517452184393524,0.4387911256000139
dynamic_pixels,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epe_px,0.4572941064539003,0.44487593762966493,0.45810895308381383,0.4592229493218007,0.4575328813005686,0.45729283114651176,0.45777656890504015
error_increase_over_v1_5px_rate,0.0017580770784126952,0.0,0.001767175036830826,0.0019398354395637255,0.0019148180421040791,0.001771022184894437,0.001768725825197553
fg_bg_background_gt_error_px,8.236003776291323,4.658000866490277,8.246340839155781,8.330298528187077,8.309610566400597,8.232456901173006,8.221322607870631
