metric,A5_frozen,A5_temporal_repair
all_gt_bad1,0.05918682018209659,0.05549777896885393
all_gt_bad3,0.017422576453389314,0.015587196551275712
all_gt_penalized_epe_px,0.351057752607956,0.3318373631075132
bad1_px,0.05785241607670148,0.05415814250506343
bad3_px,0.01602893595602413,0.014190952839447891
common_valid_epe_px,0.4572941064539003,0.4425087525018716
completeness_1px,0.9408131798179034,0.9445022210311461
completeness_2px,0.9759058027605878,0.9781055085784205
dynamic_epe_px,0.632551997225204,0.6155398750009752
dynamic_penalized_epe_px,0.4352585119044185,0.4111838456143254
dynamic_pixels,1.0,1.0
epe_at_99pct_coverage_px,0.3341939595772921,0.31505089988874035
epe_px,0.4572941064539003,0.4425087525018716
gt_valid_pixels,0.9884998571129573,0.9884998571129573
metric_depth_absrel,0.030987669185627616,0.030746554660417036
metric_depth_rmse,2.7133931396505835,2.691432662338024
metric_depth_rmse_squared,7.36250233030285,7.243809775899944
non_rigid_temporal_residual_epe_px,0.46413342103884137,0.4060541763826487
old_gate_rejected_opportunity_completion_1px,0.5555942346396917,0.6558393182462419
old_gate_rejected_opportunity_epe_px,3.5622385779685892,2.8242652764181733
opportunity_completion_1px,0.8094064828306303,0.8602113826439538
opportunity_epe_px,1.398697584381759,1.0933421745610497
prediction_coverage,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075
rigid_temporal_residual_epe_px,0.26243125139724166,0.20882454804916853
scale_error_log,0.0024156059048286637,0.002368589145539365
spring_boundary_bad1,0.3344674303039284,0.31300320214975214
spring_boundary_epe_px,1.5418423407526223,1.4210613172016027
spring_high_detail_bad1,0.595623746520467,0.5679367628463725
spring_high_detail_epe_px,3.35490542740516,3.114169867305872
spring_low_detail_bad1,0.05246641072018003,0.04907801249339485
spring_low_detail_epe_px,0.3134259540782446,0.2969806767584862
spring_matched_bad1,0.28413346270174084,0.26012092464259323
spring_matched_epe_px,1.4174239451610633,1.2922460641648181
spring_unmatched_completion_1px,0.9540800442956225,0.9565704497997574
spring_unmatched_completion_2px,0.9833666595437209,0.9846863825702582
static_epe_px,0.3954731880476778,0.3814733100537324
static_penalized_epe_px,0.3213332967506746,0.3038265584970686
static_pixels,1.0,1.0
temporal_disocclusion_completion_1px,0.8075222143329347,0.8067824959883103
temporal_disocclusion_completion_2px,0.8862424625408557,0.8859014613234406
temporal_disocclusion_current_epe_px,1.017973024743999,1.0262772130729183
temporal_large_motion_penalized_delta_epe_px,0.30191097963558067,0.25281329725503315
temporal_matched_common_valid_delta_epe_px,0.4540002468912146,0.4025670080620287
temporal_matched_penalized_delta_epe_px,0.31569367436569595,0.2609059307376881
temporal_medium_motion_penalized_delta_epe_px,0.18704797715907268,0.1404214420866809
temporal_prediction_transport_miss_rate,0.005066429902941253,0.005020917460955297
temporal_small_motion_penalized_delta_epe_px,0.3568289999600065,0.2932511770338775
uncertainty_1sigma_coverage,0.8670720518665476,0.874461365548738
uncertainty_2sigma_coverage,0.9671933012001017,0.9693083592645484
uncertainty_brier,0.05302855477294157,0.04939959249530758
uncertainty_ece,0.0522886514462862,0.04860318527003552
uncertainty_nll,-2.8176555199763307,-2.8435077307370182
validity_confidence_brier_0p1_log_depth,0.05302855477294157,0.04939959249530758
validity_confidence_ece_0p1_log_depth,0.0522886514462862,0.04860318527003552
wrong_history_completion_1px,0.9011783561525968,0.886354956087473
wrong_history_epe_px,0.8009286205827604,0.9507797374660044
